Atom,A    Atom,B     Area_IAS(A|B),0.0004     Area_IAS(A|B),0.001     Area_IAS(A|B),0.002
C1        C2           4.2667213427E+01         3.4931647343E+01        2.9277796224E+01
C1        N3           4.8827330279E+01         3.9090136895E+01        3.1654833347E+01
C1        H12          4.0997065486E+01         3.1597103383E+01        2.4923703314E+01
C2        C1           4.2667213427E+01         3.4931647343E+01        2.9277796224E+01
C2        N4           4.3944762961E+01         3.5631568983E+01        2.9404291170E+01
C2        H13          3.9971113088E+01         3.0715027800E+01        2.4253547789E+01
N3        C1           4.8827330279E+01         3.9090136895E+01        3.1654833347E+01
N3        C5           4.7101450326E+01         3.7841402044E+01        3.0728680145E+01
N3        C10          7.3988547586E+01         5.7034972851E+01        4.4109888871E+01
N4        C2           4.3944762961E+01         3.5631568983E+01        2.9404291170E+01
N4        C5           4.3564170583E+01         3.5758835609E+01        2.9854028568E+01
N4        C6           6.0072907284E+01         4.6804763484E+01        3.6982748117E+01
C5        N3           4.7101450326E+01         3.7841402044E+01        3.0728680145E+01
C5        N4           4.3564170583E+01         3.5758835609E+01        2.9854028568E+01
C5        H11          4.2635209961E+01         3.2484477848E+01        2.5114125035E+01
C6        N4           6.0072907284E+01         4.6804763484E+01        3.6982748117E+01
C6        H7           3.9945998830E+01         3.1096402223E+01        2.4886021040E+01
C6        H8           4.2519643101E+01         3.3248595755E+01        2.6604539212E+01
C6        H9           3.8909613796E+01         3.0358908551E+01        2.4368513240E+01
H7        C6           3.9945998830E+01         3.1096402223E+01        2.4886021040E+01
H8        C6           4.2519643101E+01         3.3248595755E+01        2.6604539212E+01
H9        C6           3.8909613796E+01         3.0358908551E+01        2.4368513240E+01
C10       N3           7.3988547586E+01         5.7034972851E+01        4.4109888871E+01
C10       C14          6.7460421520E+01         5.1956463570E+01        4.0337494779E+01
C10       H15          4.3312338677E+01         3.3720574175E+01        2.6772021796E+01
C10       H16          4.3603698000E+01         3.4045516895E+01        2.7093215679E+01
H11       C5           4.2635209961E+01         3.2484477848E+01        2.5114125035E+01
H12       C1           4.0997065486E+01         3.1597103383E+01        2.4923703314E+01
H13       C2           3.9971113088E+01         3.0715027800E+01        2.4253547789E+01
C14       C10          6.7460421520E+01         5.1956463570E+01        4.0337494779E+01
C14       H17          4.7076469978E+01         3.5385715266E+01        2.7557288914E+01
C14       H19          4.7999089334E+01         3.5553194019E+01        2.7110855834E+01
C14       H18          4.0361273207E+01         3.1548341986E+01        2.5423904473E+01
H15       C10          4.3312338677E+01         3.3720574175E+01        2.6772021796E+01
H16       C10          4.3603698000E+01         3.4045516895E+01        2.7093215679E+01
H17       C14          4.7076469978E+01         3.5385715266E+01        2.7557288914E+01
H18       C14          4.0361273207E+01         3.1548341986E+01        2.5423904473E+01
H19       C14          4.7999089334E+01         3.5553194019E+01        2.7110855834E+01
H19       F21          2.1291263045E+01         1.1930397371E+01        5.8140820098E+00
B20       F21          5.1081092726E+01         4.1503858019E+01        3.4667640556E+01
B20       F22          5.0850283189E+01         4.1421309930E+01        3.4689656911E+01
B20       F23          5.0631131206E+01         4.1300020534E+01        3.4604037712E+01
B20       F24          5.0758350348E+01         4.1395865797E+01        3.4647157427E+01
F21       H19          2.1291263045E+01         1.1930397371E+01        5.8140820098E+00
F21       B20          5.1081092726E+01         4.1503858019E+01        3.4667640556E+01
F22       B20          5.0850283189E+01         4.1421309930E+01        3.4689656911E+01
F23       B20          5.0631131206E+01         4.1300020534E+01        3.4604037712E+01
F24       B20          5.0758350348E+01         4.1395865797E+01        3.4647157427E+01
