d_CM    d_ions    il_separation_area    
2.5     2.5       21.875526173576997    
2.6     2.6       42.46862138759513     
2.7     2.7       21.177239429854648    
2.8     2.8       19.027876382934675    
2.9     2.9       22.795166015189054    
3.0     3.0       17.444125684110908    
3.1     3.1       16.67520370005508     
3.2     3.2       17.45420079623388     
3.3     3.3       27.633799578384096    
3.4     3.4       26.901570988017227    
3.5     3.5       27.442780467702658    
3.6     3.6       25.67059158184411     
3.7     3.7       24.195442695575604    
3.75    3.75      16.781211223465075    
3.8     3.8       16.59723470264915     
3.85    3.85      16.475294424887615    
3.9     3.9       16.348160666968198    
4.0     4.0       14.003919398237137    
4.09    4.09      11.470802864083801    
4.2     4.2       11.30360775179735     
4.3     4.3       21.72270389009299     
4.9     4.9       15.611686880377132    
5.0     5.0       13.819230272751318    
5.5     5.5       8.563097173368076     
6.0     6.0       5.962156138475211     
7.0     7.0       0.0                   
7.5     7.5       0.0                   
