,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
0,1.0,5.0,0.0,0.0140321112267054
1,2.0,5.0,0.0,0.0140321112267054
2,3.0,5.0,0.0,0.0140321112267054
3,4.0,5.0,0.0,0.0140321112267054
4,5.0,5.0,0.0,0.0140321112267054
5,6.0,5.0,0.0,0.0140321112267054
6,7.0,5.0,0.0,0.0140321112267054
7,8.0,5.0,0.0,0.0140321112267054
8,9.0,5.0,0.0,0.0140321112267054
9,10.0,5.0,0.0,0.0140321112267054
10,12.0,5.0,0.0,0.0140321112267054
11,15.0,5.0,0.0,0.0140321112267054
12,20.0,5.0,0.0,0.0140321112267054
13,30.0,5.0,0.0,0.0140321112267054
14,1.0,15.0,0.0,0.0140321112267054
15,2.0,15.0,0.0,0.0140321112267054
16,3.0,15.0,0.0,0.0140321112267054
17,4.0,15.0,0.0,0.0140321112267054
18,5.0,15.0,0.0,0.0140321112267054
19,6.0,15.0,0.0,0.0140321112267054
20,7.0,15.0,0.0,0.0140321112267054
21,8.0,15.0,0.0,0.0140321112267054
22,9.0,15.0,0.0,0.0140321112267054
23,10.0,15.0,0.0,0.0140321112267054
24,12.0,15.0,0.0,0.0140321112267054
25,15.0,15.0,0.0,0.0140321112267054
26,20.0,15.0,0.0,0.0140321112267054
27,30.0,15.0,0.0,0.0140321112267054
28,1.0,30.0,0.0,0.0140321112267054
29,2.0,30.0,0.0,0.0140321112267054
30,3.0,30.0,0.0,0.0140321112267054
31,4.0,30.0,0.0,0.0140321112267054
32,5.0,30.0,0.0,0.0140321112267054
33,6.0,30.0,0.0,0.0140321112267054
34,7.0,30.0,0.0,0.0140321112267054
35,8.0,30.0,0.0,0.0140321112267054
36,9.0,30.0,0.0,0.0140321112267054
37,10.0,30.0,0.0,0.0140321112267054
38,12.0,30.0,0.0,0.0140321112267054
39,15.0,30.0,0.0,0.0140321112267054
40,20.0,30.0,0.0,0.0140321112267054
41,30.0,30.0,0.0,0.0140321112267054
42,1.0,45.0,0.0,0.0140321112267054
43,2.0,45.0,0.0,0.0140321112267054
44,3.0,45.0,0.0,0.0140321112267054
45,4.0,45.0,0.0,0.0140321112267054
46,5.0,45.0,0.0,0.0140321112267054
