,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
0,1.0,5.0,0.0,7094216.58756902
1,2.0,5.0,0.0,31132132.2392131
2,3.0,5.0,0.0,38560901286.7362
3,4.0,5.0,0.0,17465.1777525889
4,5.0,5.0,0.0,19.7739869905057
5,6.0,5.0,0.0,-1.41988072798798
6,7.0,5.0,0.0,-1.3476975449835
7,8.0,5.0,0.0,-1.14958266028651
8,9.0,5.0,0.0,-1.00478528284968
9,10.0,5.0,0.0,-0.89505095078597
10,12.0,5.0,0.0,-0.738253217622627
11,15.0,5.0,0.0,-0.589538205240804
12,20.0,5.0,0.0,-0.450417547975822
13,30.0,5.0,0.0,-0.310645370041122
14,1.0,15.0,0.0,7093923.0257337
15,2.0,15.0,0.0,1659601.88568173
16,3.0,15.0,0.0,8138144.00779891
17,4.0,15.0,0.0,2725.68227738248
18,5.0,15.0,0.0,7.20488565470821
19,6.0,15.0,0.0,-1.50430967425231
20,7.0,15.0,0.0,-1.34200888512084
21,8.0,15.0,0.0,-1.14722837391292
22,9.0,15.0,0.0,-1.00458519799343
23,10.0,15.0,0.0,-0.895772637833488
24,12.0,15.0,0.0,-0.739426375399067
25,15.0,15.0,0.0,-0.59037440102148
26,20.0,15.0,0.0,-0.45029601957718
27,30.0,15.0,0.0,-0.319821800281485
28,1.0,30.0,0.0,7093456.40142244
29,2.0,30.0,0.0,13619.786365432
30,3.0,30.0,0.0,4459.39606015012
31,4.0,30.0,0.0,58.645918060427
32,5.0,30.0,0.0,-0.988002096989264
33,6.0,30.0,0.0,-1.55637687653137
34,7.0,30.0,0.0,-1.31766056430786
35,8.0,30.0,0.0,-1.13452642806255
36,9.0,30.0,0.0,-0.998339556142492
37,10.0,30.0,0.0,-0.892723807986432
38,12.0,30.0,0.0,-0.73882958643035
39,15.0,30.0,0.0,-0.590191566325037
40,20.0,30.0,0.0,-0.449048358139972
41,30.0,30.0,0.0,-0.305854569995075
42,1.0,45.0,0.0,7093254.320323
43,2.0,45.0,0.0,1970.81054672071
44,3.0,45.0,0.0,54.8180420008953
45,4.0,45.0,0.0,-0.134659714435622
46,5.0,45.0,0.0,-1.79220435165684
47,6.0,45.0,0.0,-1.52552313316892
48,7.0,45.0,0.0,-1.29181589151545
49,8.0,45.0,0.0,-1.12093923412146
50,9.0,45.0,0.0,-0.991133185581028
51,10.0,45.0,0.0,-0.888893107400557
52,12.0,45.0,0.0,-0.737912233984962
53,15.0,45.0,0.0,-0.590285856580828
54,20.0,45.0,0.0,-0.448879808518412
55,30.0,45.0,0.0,-0.316680216361819
56,1.0,60.0,0.0,7093200.82377435
57,2.0,60.0,0.0,1729.10798643224
58,3.0,60.0,0.0,11.177834126247
59,4.0,60.0,0.0,-1.88877031696945
60,5.0,60.0,0.0,-1.8063455194814
61,6.0,60.0,0.0,-1.50233416842329
62,7.0,60.0,0.0,-1.27967591623851
63,8.0,60.0,0.0,-1.11530429693266
64,9.0,60.0,0.0,-0.988867690363987
65,10.0,60.0,0.0,-0.888448297543884
66,12.0,60.0,0.0,-0.739095521929262
67,15.0,60.0,0.0,-0.592193019990827
68,20.0,60.0,0.0,-0.4509385976611
69,30.0,60.0,0.0,-0.312306928362932
