,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
0,1.0,5.0,0.0,20035344034583.0
1,2.0,5.0,0.0,1051063849570840.0
2,3.0,5.0,0.0,1.30188712197444e+18
3,4.0,5.0,0.0,590692499665.178
4,5.0,5.0,0.0,771964116.231618
5,6.0,5.0,0.0,10799847.9415531
6,7.0,5.0,0.0,462726.586954493
7,8.0,5.0,0.0,37753.4840688419
8,9.0,5.0,0.0,4595.08373086286
9,10.0,5.0,0.0,704.864261993889
10,12.0,5.0,0.0,8.75233391940785
11,15.0,5.0,0.0,-6.96292073471713
12,20.0,5.0,0.0,-1.62843423855788
13,30.0,5.0,0.0,-0.358613694398442
14,1.0,15.0,0.0,20025393289153.2
15,2.0,15.0,0.0,55987384439337.5
16,3.0,15.0,0.0,274778537588442.0
17,4.0,15.0,0.0,92484427591.4185
18,5.0,15.0,0.0,334331813.195757
19,6.0,15.0,0.0,6505820.51581277
20,7.0,15.0,0.0,324557.809529612
21,8.0,15.0,0.0,28791.4470840669
22,9.0,15.0,0.0,3679.4177557401
23,10.0,15.0,0.0,577.778269305151
24,12.0,15.0,0.0,4.68506147236914
25,15.0,15.0,0.0,-6.92640314864893
26,20.0,15.0,0.0,-1.62155017397456
27,30.0,15.0,0.0,-0.39425873068906
28,1.0,30.0,0.0,20009548886784.4
29,2.0,30.0,0.0,407639495559.681
30,3.0,30.0,0.0,150773112886.699
31,4.0,30.0,0.0,2113006114.56678
32,5.0,30.0,0.0,39206906.9234263
33,6.0,30.0,0.0,1573623.38196732
34,7.0,30.0,0.0,114893.935719142
35,8.0,30.0,0.0,12737.0329002929
36,9.0,30.0,0.0,1855.2690918794
37,10.0,30.0,0.0,306.550360424995
38,12.0,30.0,0.0,-4.35638185167415
39,15.0,30.0,0.0,-6.72136420613525
40,20.0,30.0,0.0,-1.58601425477825
41,30.0,30.0,0.0,-0.349999234654934
42,1.0,45.0,0.0,20002632786376.4
43,2.0,45.0,0.0,13668909982.609
44,3.0,45.0,0.0,1626438801.80566
45,4.0,45.0,0.0,76383039.1257554
46,5.0,45.0,0.0,3831779.63035435
47,6.0,45.0,0.0,283939.085212245
48,7.0,45.0,0.0,30384.59125304
49,8.0,45.0,0.0,4285.78624976904
50,9.0,45.0,0.0,712.450349265939
51,10.0,45.0,0.0,116.123311552011
52,12.0,45.0,0.0,-11.2150475858891
53,15.0,45.0,0.0,-6.43433764508042
54,20.0,45.0,0.0,-1.54270172820153
55,30.0,45.0,0.0,-0.384083628054565
56,1.0,60.0,0.0,20000692968632.4
57,2.0,60.0,0.0,5385350446.27941
58,3.0,60.0,0.0,106066440.362045
59,4.0,60.0,0.0,6622530.8579297
60,5.0,60.0,0.0,553792.677720642
61,6.0,60.0,0.0,61892.7157510258
62,7.0,60.0,0.0,8876.95620066295
63,8.0,60.0,0.0,1509.23244409907
64,9.0,60.0,0.0,267.543710632989
65,10.0,60.0,0.0,33.3414237212992
66,12.0,60.0,0.0,-14.3847235121938
67,15.0,60.0,0.0,-6.22526457887163
68,20.0,60.0,0.0,-1.51595230389197
69,30.0,60.0,0.0,-0.375918640208226
70,1.0,75.0,0.0,20000246318419.1
71,2.0,75.0,0.0,4976939059.8482
72,3.0,75.0,0.0,51634832.5353756
73,4.0,75.0,0.0,2792010.82195331
74,5.0,75.0,0.0,275110.551599385
75,6.0,75.0,0.0,36470.6079319518
76,7.0,75.0,0.0,5917.83235520384
