,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
0,3.5,5.0,0.0,0.4745753941169824,-7.82678509730986,-4.114184386348537,8.301360491426843
1,4.0,5.0,0.0,-1.998159948074317,-2.8083586024375404,-3.59991133805497,0.8101986543632234
2,4.5,5.0,0.0,-3.1097464302802114,-2.1678801938464702,-3.1999211893821955,0.9418662364337411
3,5.0,5.0,0.0,-3.259256694120268,-1.81698933222287,-2.8799290704439757,1.442267361897398
4,5.5,5.0,0.0,-3.1286089766654186,-1.57556131094443,-2.618117336767251,1.5530476657209886
5,6.0,5.0,0.0,-2.82635693091288,-1.39644757443339,-2.3999408920366467,1.4299093564794902
6,7.0,5.0,0.0,-2.3261284352811344,-1.1451539984495,-2.0570921931742685,1.1809744368316344
7,8.0,5.0,0.0,-1.9517048412890292,-0.975148362587695,-1.799955669027485,0.9765564787013342
8,9.0,5.0,0.0,-1.6980382028159509,-0.8514643873534559,-1.5999605946910977,0.846573815462495
9,10.0,5.0,0.0,-1.5102478944718314,-0.757061383534521,-1.4399645352219879,0.7531865109373104
10,12.0,5.0,0.0,-1.2416497725607771,-0.6221170890290811,-1.1999704460183234,0.619532683531696
11,15.0,5.0,0.0,-0.98532741165036,-0.49469728062710205,-0.9599763568146586,0.4906301310232579
12,20.0,5.0,0.0,-0.7348455420942628,-0.375768134105613,-0.7199822676109939,0.3590774079886498
13,30.0,5.0,0.0,-0.4882276730240847,-0.24100796115306697,-0.4799881784073293,0.24721971187101774
14,3.5,5.0,30.0,0.3757259009908012,-7.826167992119321,-4.114184386348537,8.201893893110123
15,4.0,5.0,30.0,-2.0591501990129477,-2.80779552141097,-3.59991133805497,0.7486453223980223
16,4.5,5.0,30.0,-3.120074139049393,-2.16736716723815,-3.1999211893821955,0.9527069718112431
17,5.0,5.0,30.0,-3.2655374031055544,-1.8165220252555,-2.8799290704439757,1.4490153778500543
18,5.5,5.0,30.0,-3.1203733091897448,-1.57513502181362,-2.618117336767251,1.5452382873761248
19,6.0,5.0,30.0,-2.834238205461588,-1.39605823353601,-2.3999408920366467,1.4381799719255777
20,7.0,5.0,30.0,-2.3171688959555468,-1.14482707264489,-2.0570921931742685,1.1723418233106568
21,8.0,5.0,30.0,-1.9470701327154532,-0.9748714945354399,-1.799955669027485,0.9721986381800133
22,9.0,5.0,30.0,-1.6961231362183753,-0.851227737519155,-1.5999605946910977,0.8448953986992203
23,10.0,5.0,30.0,-1.5088586661404406,-0.756857728304497,-1.4399645352219879,0.7520009378359436
24,12.0,5.0,30.0,-1.2413420498778578,-0.62196299615233,-1.1999704460183234,0.6193790537255278
25,15.0,5.0,30.0,-0.9850025104242376,-0.49459165800156707,-0.9599763568146586,0.4904108524226705
26,20.0,5.0,30.0,-0.7346720749519591,-0.375708008466904,-0.7199822676109939,0.3589640664850551
27,3.5,5.0,45.0,0.2673477124662895,-7.8254410564276204,-4.114184386348537,8.09278876889391
28,4.0,5.0,45.0,-2.116913925165136,-2.80713164906461,-3.59991133805497,0.6902177238994742
29,4.5,5.0,45.0,-3.1546353013836783,-2.16676228806887,-3.1999211893821955,0.9878730133148084
30,5.0,5.0,45.0,-3.2502028238013736,-1.81597097032909,-2.8799290704439757,1.4342318534722835
31,5.5,5.0,45.0,-3.110142979086959,-1.57463244230487,-2.618117336767251,1.5355105367820887
32,6.0,5.0,45.0,-2.8201474885427165,-1.39559896395981,-2.3999408920366467,1.4245485245829064
33,7.0,5.0,45.0,-2.3065660583051795,-1.1444414978335802,-2.0570921931742685,1.1621245604715993
34,8.0,5.0,45.0,-1.9412773837466373,-0.9745446932850991,-1.799955669027485,0.9667326904615382
35,9.0,5.0,45.0,-1.6922850654591457,-0.850948450424308,-1.5999605946910977,0.8413366150348377
36,10.0,5.0,45.0,-1.5045955997920828,-0.7566172510448541,-1.4399645352219879,0.7479783487472287
37,12.0,5.0,45.0,-1.2390280670842913,-0.6217809746777161,-1.1999704460183234,0.6172470924065752
38,15.0,5.0,45.0,-0.9840239917066356,-0.49446695585796707,-0.9599763568146586,0.4895570358486685
39,20.0,5.0,45.0,-0.7344312378590985,-0.3756368720170011,-0.7199822676109939,0.3587943658420974
40,30.0,5.0,45.0,-0.4885240594412608,-0.241008401155531,-0.4799881784073293,0.24751565828572983
