,Radius,Theta,Phi,LMP.Int.En.
0,3.0,5,0,167440.934241415
1,3.5,5,0,-7.82678509730986
2,4.0,5,0,-2.80835860243754
3,4.5,5,0,-2.16788019384647
4,5.0,5,0,-1.81698933222287
5,5.5,5,0,-1.57556131094443
6,6.0,5,0,-1.39644757443339
7,7.0,5,0,-1.1451539984495
8,8.0,5,0,-0.975148362587695
9,9.0,5,0,-0.851464387353456
10,10.0,5,0,-0.757061383534521
11,12.0,5,0,-0.622117089029081
12,15.0,5,0,-0.494697280627102
13,20.0,5,0,-0.375768134105613
14,30.0,5,0,-0.241007961153067
15,3.0,15,0,-8.62533114425144
16,3.5,15,0,-3.58062999435277
17,4.0,15,0,-2.50914673161207
18,4.5,15,0,-2.05910047463626
19,5.0,15,0,-1.75989199394248
20,5.5,15,0,-1.54210463320289
21,6.0,15,0,-1.37556044153258
22,7.0,15,0,-1.1360792879361
23,8.0,15,0,-0.97095991006351
24,9.0,15,0,-0.84958752935622
25,10.0,15,0,-0.756371250098699
26,12.0,15,0,-0.622423201905279
27,15.0,15,0,-0.495376354206992
28,20.0,15,0,-0.376517003455602
29,30.0,15,0,-0.26131811307581
30,3.0,30,0,-2.90320332237839
31,3.5,30,0,-2.47238251371154
32,4.0,30,0,-2.12120502054496
33,4.5,30,0,-1.84536473684617
34,5.0,30,0,-1.62896824016672
35,5.5,30,0,-1.45685527960835
36,6.0,30,0,-1.31747322807186
37,7.0,30,0,-1.10633987309829
38,8.0,30,0,-0.954317666210517
39,9.0,30,0,-0.839730834848725
40,10.0,30,0,-0.750328002527297
41,12.0,30,0,-0.620083088382724
42,15.0,30,0,-0.495037088412037
43,20.0,30,0,-0.377222216306367
44,30.0,30,0,-0.241683144167111
45,3.0,45,0,-2.43755654713836
46,3.5,45,0,-2.14283628347983
47,4.0,45,0,-1.89502343032988
48,4.5,45,0,-1.68975261271109
49,5.0,45,0,-1.5200293409657
50,5.5,45,0,-1.37887562428718
51,6.0,45,0,-1.26040005085972
52,7.0,45,0,-1.07390690907828
53,8.0,45,0,-0.934670239065919
54,9.0,45,0,-0.827234876357356
55,10.0,45,0,-0.742081799752707
56,12.0,45,0,-0.616211166995352
57,15.0,45,0,-0.493696962535168
58,20.0,45,0,-0.377190325964698
59,30.0,45,0,-0.261065519754313
60,3.0,60,0,-2.25445904812758
61,3.5,60,0,-1.99600660458791
62,4.0,60,0,-1.78269221955452
63,4.5,60,0,-1.60521937129261
64,5.0,60,0,-1.45644639496762
65,5.5,60,0,-1.33070305256533
66,6.0,60,0,-1.22351414377796
67,7.0,60,0,-1.0515044870761
68,8.0,60,0,-0.920436900519875
69,9.0,60,0,-0.8178271930386
70,10.0,60,0,-0.735648592294484
71,12.0,60,0,-0.612933867686913
72,15.0,60,0,-0.4922526613488
73,20.0,60,0,-0.376514231191881
74,30.0,60,0,-0.253152414998308
75,3.0,75,0,-2.20073041016095
76,3.5,75,0,-1.95354520886863
77,4.0,75,0,-1.75017407186163
78,4.5,75,0,-1.58059196998397
79,5.0,75,0,-1.43778705395283
80,5.5,75,0,-1.31647173108597
81,6.0,75,0,-1.21255268823379
82,7.0,75,0,-1.04477527679958
83,8.0,75,0,-0.916110302953297
84,9.0,75,0,-0.814920093196169
85,10.0,75,0,-0.733610660741533
86,12.0,75,0,-0.611793308164345
87,15.0,75,0,-0.491554875334917
88,20.0,75,0,-0.375759877921697
89,30.0,75,0,-0.272096693733899
90,3.0,90,0,-2.25147531640355
91,3.5,90,0,-2.00089821196986
92,4.0,90,0,-1.79080532929116
93,4.5,90,0,-1.613938351094
94,5.0,90,0,-1.46456484813335
95,5.5,90,0,-1.33778619538013
96,6.0,90,0,-1.22949448319447
97,7.0,90,0,-1.05558897124601
98,8.0,90,0,-0.923170154484974
99,9.0,90,0,-0.819641742183754
100,10.0,90,0,-0.736836253676164
101,12.0,90,0,-0.613363085942308
102,15.0,90,0,-0.492068082016945
103,20.0,90,0,-0.375606795387896
104,30.0,90,0,-0.236183916995005
105,3.0,105,0,-2.44670726498808
106,3.5,105,0,-2.17243045372025
107,4.0,105,0,-1.92826716054904
108,4.5,105,0,-1.71947671450479
109,5.0,105,0,-1.54441531145423
110,5.5,105,0,-1.39819750798979
111,6.0,105,0,-1.27551673428591
112,7.0,105,0,-1.08312879772757
113,8.0,105,0,-0.940372472693446
114,9.0,105,0,-0.830808640988365
115,10.0,105,0,-0.744327380072209
116,12.0,105,0,-0.617017400741698
117,15.0,105,0,-0.493550583488439
118,20.0,105,0,-0.376218629258416
119,30.0,105,0,-0.257870885474274
120,3.0,120,0,-2.99880074635394
121,3.5,120,0,-2.62247209020232
122,4.0,120,0,-2.24281579972346
123,4.5,120,0,-1.93057549926369
124,5.0,120,0,-1.68706581596383
125,5.5,120,0,-1.49678897296167
126,6.0,120,0,-1.34541225416178
127,7.0,120,0,-1.1207819390531
128,8.0,120,0,-0.962222397060055
129,9.0,120,0,-0.844214785028418
130,10.0,120,0,-0.752907185785579
131,12.0,120,0,-0.62088014093742
132,15.0,120,0,-0.494994824050463
133,20.0,120,0,-0.376949895874504
134,30.0,120,0,-0.239748083489473
135,3.0,135,0,198.597088519537
136,3.5,135,0,-7.05780851591791
137,4.0,135,0,-2.90913556368047
138,4.5,135,0,-2.23636481904593
139,5.0,135,0,-1.85424568746516
140,5.5,135,0,-1.59677924435864
141,6.0,135,0,-1.4091473836466
142,7.0,135,0,-1.1502199920593
143,8.0,135,0,-0.977358548046966
144,9.0,135,0,-0.852478452044973
145,10.0,135,0,-0.757548180689538
146,12.0,135,0,-0.622302306227894
