,type,T,#atoms,status,dens.ave,visco.ave
0,FULL_Difference,300,100,running,,
1,FULL_Difference,400,100,running,,
2,FULL_Difference,500,100,running,,
3,FULL_Difference,600,100,running,,
4,FULL_Difference,300,500,running,,
5,FULL_Difference,400,500,running,,
6,FULL_Difference,500,500,running,,
7,FULL_Difference,600,500,running,,
8,FULL_Difference,300,1000,running,,
9,FULL_Difference,400,1000,running,,
10,FULL_Difference,500,1000,running,,
11,FULL_Difference,600,1000,running,,
12,NON_COUL_Trapezoidal,300,100,completed,0.13052467828690806,missing
13,NON_COUL_Trapezoidal,400,100,running,,
14,NON_COUL_Trapezoidal,500,100,running,,
15,NON_COUL_Trapezoidal,600,100,running,,
16,NON_COUL_Trapezoidal,300,500,running,,
17,NON_COUL_Trapezoidal,400,500,running,,
18,NON_COUL_Trapezoidal,500,500,running,,
19,NON_COUL_Trapezoidal,600,500,running,,
20,NON_COUL_Trapezoidal,300,1000,running,,
21,NON_COUL_Trapezoidal,400,1000,running,,
22,NON_COUL_Trapezoidal,500,1000,running,,
23,NON_COUL_Trapezoidal,600,1000,running,,
24,FULL_Integral,300,100,running,,
25,FULL_Integral,400,100,running,,
26,FULL_Integral,500,100,running,,
27,FULL_Integral,600,100,running,,
28,FULL_Integral,300,500,running,,
29,FULL_Integral,400,500,running,,
30,FULL_Integral,500,500,running,,
31,FULL_Integral,600,500,running,,
32,FULL_Integral,300,1000,running,,
33,FULL_Integral,400,1000,running,,
34,FULL_Integral,500,1000,running,,
35,FULL_Integral,600,1000,running,,
36,NON_COUL_Integral,300,100,running,,
37,NON_COUL_Integral,400,100,running,,
38,NON_COUL_Integral,500,100,running,,
39,NON_COUL_Integral,600,100,running,,
40,NON_COUL_Integral,300,500,running,,
41,NON_COUL_Integral,400,500,running,,
42,NON_COUL_Integral,500,500,running,,
43,NON_COUL_Integral,600,500,running,,
44,NON_COUL_Integral,300,1000,running,,
45,NON_COUL_Integral,400,1000,running,,
46,NON_COUL_Integral,500,1000,running,,
47,NON_COUL_Integral,600,1000,running,,
48,NON_COUL_Difference,300,100,running,,
49,NON_COUL_Difference,400,100,running,,
50,NON_COUL_Difference,500,100,running,,
51,NON_COUL_Difference,600,100,running,,
52,NON_COUL_Difference,300,500,running,,
53,NON_COUL_Difference,400,500,running,,
54,NON_COUL_Difference,500,500,running,,
55,NON_COUL_Difference,600,500,running,,
56,NON_COUL_Difference,300,1000,running,,
57,NON_COUL_Difference,400,1000,running,,
58,NON_COUL_Difference,500,1000,running,,
59,NON_COUL_Difference,600,1000,running,,
60,FULL_Trapezoidal,300,100,running,,
61,FULL_Trapezoidal,400,100,running,,
62,FULL_Trapezoidal,500,100,running,,
63,FULL_Trapezoidal,600,100,running,,
64,FULL_Trapezoidal,300,500,running,,
65,FULL_Trapezoidal,400,500,running,,
66,FULL_Trapezoidal,500,500,running,,
67,FULL_Trapezoidal,600,500,running,,
68,FULL_Trapezoidal,300,1000,running,,
69,FULL_Trapezoidal,400,1000,running,,
70,FULL_Trapezoidal,500,1000,running,,
71,FULL_Trapezoidal,600,1000,completed,missing,missing
