,Radius,Theta,Phi,LMP.Int.En.
0,3.0,5,0,27245977979234.8
1,3.5,5,0,2674329701.61671
2,4.0,5,0,10772692.4423023
3,4.5,5,0,217806.849872363
4,5.0,5,0,10072.1976976788
5,5.5,5,0,720.541329291752
6,6.0,5,0,53.5043475278306
7,7.0,5,0,-5.66294800696671
8,8.0,5,0,-2.56967581995001
9,9.0,5,0,-1.3690776841769
10,10.0,5,0,-0.944365623493891
11,12.0,5,0,-0.654740316278235
12,15.0,5,0,-0.498570520461077
13,20.0,5,0,-0.375923690836716
14,30.0,5,0,-0.241007961153067
15,3.0,15,0,5514217630.33405
16,3.5,15,0,79492759.0043339
17,4.0,15,0,1597410.90086261
18,4.5,15,0,62705.6793200652
19,5.0,15,0,4019.24128837184
20,5.5,15,0,334.976325106026
21,6.0,15,0,21.7810731385809
22,7.0,15,0,-5.61612259494554
23,8.0,15,0,-2.50564474934716
24,9.0,15,0,-1.36262438565811
25,10.0,15,0,-0.946167067513956
26,12.0,15,0,-0.656297944493137
27,15.0,15,0,-0.499456994370234
28,20.0,15,0,-0.376524756121561
29,30.0,15,0,-0.26131811307581
30,3.0,30,0,2733408.476056
31,3.5,30,0,325583.279986192
32,4.0,30,0,31851.0772977756
33,4.5,30,0,3340.89544656111
34,5.0,30,0,379.527865686361
35,5.5,30,0,34.2380709893032
36,6.0,30,0,-5.68899735008118
37,7.0,30,0,-5.18089571906856
38,8.0,30,0,-2.37881555952502
39,9.0,30,0,-1.35048716095645
40,10.0,30,0,-0.948463282896598
41,12.0,30,0,-0.657224690919938
42,15.0,30,0,-0.499624571571196
43,20.0,30,0,-0.377228724230694
44,30.0,30,0,-0.241683144167111
45,3.0,45,0,112413.145751547
46,3.5,45,0,16615.8728801242
47,4.0,45,0,2736.82776940274
48,4.5,45,0,467.104103057663
49,5.0,45,0,69.7632475471742
50,5.5,45,0,0.704514383158219
51,6.0,45,0,-8.33713350332994
52,7.0,45,0,-5.02288741469337
53,8.0,45,0,-2.4308492792743
54,9.0,45,0,-1.39713542835691
55,10.0,45,0,-0.971434445090622
56,12.0,45,0,-0.660667150659114
57,15.0,45,0,-0.499233451996031
58,20.0,45,0,-0.37719531105004
59,30.0,45,0,-0.261065519754313
60,3.0,60,0,94600.6166767824
61,3.5,60,0,13566.2729983201
