,Radius,Theta,Phi,"[('OPT', 'INT.EN.')-('OPT', 'COUL.EN.')]",LMP,Coulomb,Delta.Ener.
0,3.5,5.0,0.0,0.7445808324106653,-0.561318362408783,-4.114184386348537,1.3058991948194483
1,4.0,5.0,0.0,-0.8486780471916759,-0.5232396973022949,-3.59991133805497,0.32543834988938103
2,4.5,5.0,0.0,-1.2072127761492062,-0.17213080183777202,-3.1999211893821955,1.0350819743114341
3,5.0,5.0,0.0,-1.0631983794574542,-0.0658599220034654,-2.8799290704439757,0.9973384574539889
4,5.5,5.0,0.0,-0.9116678020854105,-0.0236929217324831,-2.618117336767251,0.8879748803529275
5,6.0,5.0,0.0,-0.689534402880871,-0.00500908131524845,-2.3999408920366467,0.6845253215656225
6,7.0,5.0,0.0,-0.256013128543068,0.00837451681453336,-2.0570921931742685,0.2643876453576014
7,8.0,5.0,0.0,-0.09129851029586233,0.0120600588863561,-1.799955669027485,0.10335856918221843
8,9.0,5.0,0.0,-0.042147185086854444,0.0132548515136875,-1.5999605946910977,0.055402036600541944
9,10.0,5.0,0.0,-0.024171595465934503,0.0136944056176197,-1.4399645352219879,0.0378660010835542
10,12.0,5.0,0.0,-0.009971651247989044,0.0139523789498136,-1.1999704460183234,0.023924030197802645
11,15.0,5.0,0.0,-0.0053480923583163475,0.0140184974055248,-0.9599763568146586,0.019366589763841147
12,20.0,5.0,0.0,-0.0037079545429306027,0.014030717909061999,-0.7199822676109939,0.0177386724519926
13,30.0,5.0,0.0,-0.0032862811811048,0.0140321112208688,-0.4799881784073293,0.017318392401973602
14,3.5,5.0,30.0,0.7044065654902916,-0.561317446339516,-4.114184386348537,1.2657240118298074
15,4.0,5.0,30.0,-0.8369019908670998,-0.5232391977406401,-3.59991133805497,0.3136627931264597
16,4.5,5.0,30.0,-1.1938666291372275,-0.172130520895008,-3.1999211893821955,1.0217361082422196
17,5.0,5.0,30.0,-1.0367567563805236,-0.0658597593231377,-2.8799290704439757,0.9708969970573859
18,5.5,5.0,30.0,-0.8829154948570568,-0.0236928249244352,-2.618117336767251,0.8592226699326215
19,6.0,5.0,30.0,-0.6516807020399189,-0.00500902222906354,-2.3999408920366467,0.6466716798108554
20,7.0,5.0,30.0,-0.24305832514280246,0.00837454038317385,-2.0570921931742685,0.2514328655259763
21,8.0,5.0,30.0,-0.08653479935552233,0.0120600690687978,-1.799955669027485,0.09859486842432014
22,9.0,5.0,30.0,-0.040297254357726464,0.0132548562232347,-1.5999605946910977,0.05355211058096117
23,10.0,5.0,30.0,-0.023127384665637907,0.0136944079273134,-1.4399645352219879,0.036821792592951305
24,12.0,5.0,30.0,-0.009776046926841087,0.0139523795924961,-1.1999704460183234,0.023728426519337188
25,15.0,5.0,30.0,-0.005143530747359959,0.0140184975306592,-0.9599763568146586,0.01916202827801916
26,20.0,5.0,30.0,-0.003614120771599283,0.0140307179228546,-0.7199822676109939,0.017644838694453883
27,3.5,5.0,45.0,0.6712174503160548,-0.561316382158588,-4.114184386348537,1.2325338324746429
28,4.0,5.0,45.0,-0.8458008487740107,-0.523238617223551,-3.59991133805497,0.3225622315504597
29,4.5,5.0,45.0,-1.1743719337977798,-0.172130194279839,-3.1999211893821955,1.0022417395179408
30,5.0,5.0,45.0,-1.0414096893115063,-0.0658595700990375,-2.8799290704439757,0.9755501192124688
31,5.5,5.0,45.0,-0.8561500966091371,-0.0236927122589059,-2.618117336767251,0.8324573843502312
32,6.0,5.0,45.0,-0.6356040691164098,-0.00500895342574705,-2.3999408920366467,0.6305951156906627
33,7.0,5.0,45.0,-0.2296761969906993,0.00837456785833009,-2.0570921931742685,0.2380507648490294
34,8.0,5.0,45.0,-0.08116666502251646,0.0120600809514575,-1.799955669027485,0.09322674597397396
35,9.0,5.0,45.0,-0.03762712663424295,0.0132548617244897,-1.5999605946910977,0.050881988358732644
36,10.0,5.0,45.0,-0.01969630807852063,0.0136944106276702,-1.4399645352219879,0.03339071870619083
37,12.0,5.0,45.0,-0.008038943121893238,0.0139523803450353,-1.1999704460183234,0.021991323466928538
38,15.0,5.0,45.0,-0.004598799048080804,0.01401849767745,-0.9599763568146586,0.018617296725530804
39,20.0,5.0,45.0,-0.0035929214001497733,0.0140307179390688,-0.7199822676109939,0.017623639339218573
40,30.0,5.0,45.0,-0.0037191074736143137,0.0140321112208688,-0.4799881784073293,0.017751218694483116
41,3.5,5.0,60.0,0.6009922772799504,-0.561315030822722,-4.114184386348537,1.1623073081026725
42,4.0,5.0,60.0,-0.8569433036324701,-0.523237879770238,-3.59991133805497,0.3337054238622321
43,4.5,5.0,60.0,-1.1598236183855795,-0.172129779140199,-3.1999211893821955,0.9876938392453805
44,5.0,5.0,60.0,-1.0169388833379256,-0.0658593294355439,-2.8799290704439757,0.9510795539023817
45,5.5,5.0,60.0,-0.8284979350885013,-0.0236925688686207,-2.618117336767251,0.8048053662198806
46,6.0,5.0,60.0,-0.6135835248052768,-0.005008865798332879,-2.3999408920366467,0.6085746590069439
47,7.0,5.0,60.0,-0.19833511192811093,0.00837460289866241,-2.0570921931742685,0.20670971482677333
48,8.0,5.0,60.0,-0.057681571833736234,0.012060096125701,-1.799955669027485,0.06974166795943723
49,9.0,5.0,60.0,-0.015389988511002484,0.0132548687580809,-1.5999605946910977,0.028644857269083383
50,10.0,5.0,60.0,-0.017237076425964393,0.0136944140839836,-1.4399645352219879,0.030931490509947993
51,12.0,5.0,60.0,-0.007471408623531461,0.0139523813100808,-1.1999704460183234,0.021423789933612263
52,15.0,5.0,60.0,-0.003510658165099545,0.0140184978661177,-0.9599763568146586,0.017529156031217245
53,20.0,5.0,60.0,-0.002319800926078308,0.0140307179599645,-0.7199822676109939,0.01635051888604281
54,3.5,5.0,90.0,0.5282429346087072,-0.56131192624301,-4.114184386348537,1.0895548608517172
55,4.0,5.0,90.0,-0.8714988234238203,-0.523236184267202,-3.59991133805497,0.34826263915661837
56,4.5,5.0,90.0,-1.1300599411222776,-0.172128823688144,-3.1999211893821955,0.9579311174341336
