,Radius,Theta,Phi,LMP.Int.En.
0,3.0,5,0,27245977979241.9
1,3.5,5,0,2674329705.45858
2,4.0,5,0,10772695.1818184
3,4.5,5,0,217809.028697863
4,5.0,5,0,10074.0284896025
5,5.5,5,0,722.13089530705
6,6.0,5,0,54.9148226176526
7,7.0,5,0,-4.5037621610782
8,8.0,5,0,-1.58049537528562
9,9.0,5,0,-0.503581190574975
10,10.0,5,0,-0.173272129876541
11,12.0,5,0,-0.0185911161289099
12,15.0,5,0,0.0101588713858433
13,20.0,5,0,0.0137865102540421
14,30.0,5,0,0.0140320288417418
15,3.0,15,0,5514217634.52049
16,3.5,15,0,79492762.1856877
17,4.0,15,0,1597413.40725958
18,4.5,15,0,62707.7513830962
19,5.0,15,0,4021.01510515806
20,5.5,15,0,336.532446428407
21,6.0,15,0,23.1706627583458
22,7.0,15,0,-4.46601139383823
23,8.0,15,0,-1.52065275223571
24,9.0,15,0,-0.499004749473167
25,10.0,15,0,-0.175763707240091
26,12.0,15,0,-0.0198426314631585
27,15.0,15,0,0.00995147105670902
28,20.0,15,0,0.0137719844878663
29,30.0,15,0,0.0140295119887671
30,3.0,30,0,2733411.36721123
31,3.5,30,0,325585.762116773
32,4.0,30,0,31853.2119466213
33,4.5,30,0,3342.75475466038
34,5.0,30,0,381.170850004522
35,5.5,30,0,35.7089548778878
36,6.0,30,0,-4.35749292092125
37,7.0,30,0,-4.06052382905693
38,8.0,30,0,-1.41046579707696
39,9.0,30,0,-0.496724218087918
40,10.0,30,0,-0.184103169990052
41,12.0,30,0,-0.0231094914016692
42,15.0,30,0,0.00944462806114252
43,20.0,30,0,0.0137385874034733
44,30.0,30,0,0.0140320396399744
45,3.0,45,0,112415.596489804
46,3.5,45,0,16618.0295591268
47,4.0,45,0,2738.73678099873
48,4.5,45,0,468.807876752582
49,5.0,45,0,71.2973059315204
50,5.5,45,0,2.09742116872012
51,6.0,45,0,-7.06270166652091
52,7.0,45,0,-3.93494844375007
53,8.0,45,0,-1.48214693882487
54,9.0,45,0,-0.55586844318499
55,10.0,45,0,-0.215320534804122
56,12.0,45,0,-0.0304238725184913
57,15.0,45,0,0.0084956217598043
58,20.0,45,0,0.0136833087091907
59,30.0,45,0,0.014029531086436
60,3.0,60,0,94602.8847341036
61,3.5,60,0,13568.2829540583
62,4.0,60,0,2406.88011225517
