,Radius,Theta,Phi,DFT,LMP,Coulomb,Delta.Ener.
0,4.0,5.0,0.0,-1.994495012477273,-2.7263444262833194,-3.59991133805497,0.7318494138060465
1,5.0,5.0,0.0,-3.2555917585232232,-1.81681732353924,-2.8799290704439757,1.4387744349839833
2,6.0,5.0,0.0,-2.8226919953158367,-1.39645677004505,-2.3999408920366467,1.4262352252707866
3,7.0,5.0,0.0,-2.3224634996840905,-1.1451583404993402,-2.0570921931742685,1.1773051591847503
4,8.0,5.0,0.0,-1.9480399056919853,-0.975150161443703,-1.799955669027485,0.9728897442482822
5,9.0,5.0,0.0,-1.6943732672189071,-0.8514651990113191,-1.5999605946910977,0.842908068207588
6,10.0,5.0,0.0,-1.5065829588747874,-0.7570617811881609,-1.4399645352219879,0.7495211776866265
7,12.0,5.0,0.0,-1.2379848369637327,-0.622117204778656,-1.1999704460183234,0.6158676321850768
8,15.0,5.0,0.0,-0.9816624760533158,-0.494697306150972,-0.9599763568146586,0.4869651699023438
9,20.0,5.0,0.0,-0.7311806064972188,-0.37576813600409903,-0.7199822676109939,0.3554124704931198
10,30.0,5.0,0.0,-0.4845627374270407,-0.24100796115306697,-0.4799881784073293,0.24355477627397373
11,4.0,5.0,90.0,-2.2950570216344204,-2.72221639091125,-3.59991133805497,0.4271593692768296
12,5.0,5.0,90.0,-3.2307182033582653,-1.8133891305516898,-2.8799290704439757,1.4173290728065755
13,6.0,5.0,90.0,-2.768171085412177,-1.3935980977167401,-2.3999408920366467,1.374572987695437
14,7.0,5.0,90.0,-2.2597781807598962,-1.14275628631988,-2.0570921931742685,1.1170218944400163
15,8.0,5.0,90.0,-1.913200855240575,-0.973113832145643,-1.799955669027485,0.9400870230949321
16,9.0,5.0,90.0,-1.6719568240187073,-0.8497241621956191,-1.5999605946910977,0.8222326618230882
17,10.0,5.0,90.0,-1.4700180589206866,-0.7555617325673571,-1.4399645352219879,0.7144563263533295
18,12.0,5.0,90.0,-1.2075704014168878,-0.62098085448412,-1.1999704460183234,0.5865895469327678
19,15.0,5.0,90.0,-0.9555704820995744,-0.49391764995750703,-0.9599763568146586,0.46165283214206737
20,20.0,5.0,90.0,-0.7081052042121883,-0.37532317334737897,-0.7199822676109939,0.3327820308648093
21,30.0,5.0,90.0,-0.4635972407049849,-0.24100770699257199,-0.4799881784073293,0.22258953371241294
22,4.0,5.0,180.0,-2.5720225930454035,-2.7182570736252405,-3.59991133805497,0.146234480579837
23,5.0,5.0,180.0,-3.213251388824574,-1.81009496887204,-2.8799290704439757,1.403156419952534
24,6.0,5.0,180.0,-2.7087298589467537,-1.39084586759865,-2.3999408920366467,1.3178839913481037
25,7.0,5.0,180.0,-2.2141954655708105,-1.14043850433381,-2.0570921931742685,1.0737569612370004
26,8.0,5.0,180.0,-1.88519328311304,-0.971145242913991,-1.799955669027485,0.9140480401990491
27,9.0,5.0,180.0,-1.6508729496017622,-0.848038372649685,-1.5999605946910977,0.8028345769520773
28,10.0,5.0,180.0,-1.4736020977834414,-0.7541066901711209,-1.4399645352219879,0.7194954076123206
29,12.0,5.0,180.0,-1.2167801195028003,-0.6198756094091811,-1.1999704460183234,0.5969045100936192
30,15.0,5.0,180.0,-0.9670440813824824,-0.49315733412545204,-0.9599763568146586,0.4738867472570304
31,20.0,5.0,180.0,-0.7225390077292104,-0.37488798190891204,-0.7199822676109939,0.3476510258202984
32,30.0,5.0,180.0,-0.4792469741223613,-0.24100796115306697,-0.4799881784073293,0.2382390129692943
33,3.0,5.0,270.0,2.490202866945765,2.42653845187626,-4.7998817840732935,0.06366441506950515
34,4.0,5.0,270.0,-2.273578182113852,-2.72221639091125,-3.59991133805497,0.4486382087973979
35,5.0,5.0,270.0,-3.220667784054968,-1.8133891305516898,-2.8799290704439757,1.407278653503278
36,6.0,5.0,270.0,-2.7496100792741345,-1.3935980977167401,-2.3999408920366467,1.3560119815573943
37,7.0,5.0,270.0,-2.2584299463815114,-1.14275628631988,-2.0570921931742685,1.1156736600616315
38,8.0,5.0,270.0,-1.9111249013221825,-0.973113832145643,-1.799955669027485,0.9380110691765395
39,9.0,5.0,270.0,-1.6702754977850418,-0.8497241621956191,-1.5999605946910977,0.8205513355894227
40,10.0,5.0,270.0,-1.4873600820392312,-0.7555617325673571,-1.4399645352219879,0.731798349471874
41,12.0,5.0,270.0,-1.2247488786597387,-0.62098085448412,-1.1999704460183234,0.6037680241756187
42,15.0,5.0,270.0,-0.9546247177277108,-0.49391764995750703,-0.9599763568146586,0.4607070677702038
43,20.0,5.0,270.0,-0.7075691698410083,-0.37532317334737897,-0.7199822676109939,0.3322459964936293
44,30.0,5.0,270.0,-0.482204987838486,-0.24100770699257199,-0.4799881784073293,0.241197280845914
45,6.0,90.0,0.0,-2.5794293173530605,-1.22960385099317,-2.3999408920366467,1.3498254663598905
46,7.0,90.0,0.0,-2.84858049435934,-1.05562227799814,-2.0570921931742685,1.7929582163612
47,8.0,90.0,0.0,-2.419371931177011,-0.923181799093182,-1.799955669027485,1.4961901320838291
48,9.0,90.0,0.0,-1.9993703322870715,-0.8196463212524,-1.5999605946910977,1.1797240110346716
49,10.0,90.0,0.0,-1.7185857761833176,-0.7368382394877601,-1.4399645352219879,0.9817475366955576
50,12.0,90.0,0.0,-1.3438173404574627,-0.6133635563796229,-1.1999704460183234,0.7304537840778398
