,Radius,Theta,Phi,LMP.Int.En.
0,3.0,5.0,0.0,2.42160682664533
1,4.0,5.0,0.0,-2.72634442628332
2,5.0,5.0,0.0,-1.81681732353924
3,6.0,5.0,0.0,-1.39645677004505
4,7.0,5.0,0.0,-1.14515834049934
5,8.0,5.0,0.0,-0.975150161443703
6,9.0,5.0,0.0,-0.851465199011319
7,10.0,5.0,0.0,-0.757061781188161
8,12.0,5.0,0.0,-0.622117204778656
9,15.0,5.0,0.0,-0.494697306150972
10,20.0,5.0,0.0,-0.375768136004099
11,30.0,5.0,0.0,-0.241007961153067
12,3.0,90.0,0.0,-2.25875347250978
13,4.0,90.0,0.0,-1.79258638508412
14,5.0,90.0,0.0,-1.46498157244942
15,6.0,90.0,0.0,-1.22960385099317
16,7.0,90.0,0.0,-1.05562227799814
17,8.0,90.0,0.0,-0.923181799093182
18,9.0,90.0,0.0,-0.8196463212524
19,10.0,90.0,0.0,-0.73683823948776
20,12.0,90.0,0.0,-0.613363556379623
21,15.0,90.0,0.0,-0.492068164137948
22,20.0,90.0,0.0,-0.375606802430217
23,30.0,90.0,0.0,-0.236183916995005
24,3.0,175.0,0.0,-2.81343777591233
25,4.0,175.0,0.0,-2.05164464917074
26,5.0,175.0,0.0,-1.57003093302739
27,6.0,175.0,0.0,-1.27168671800338
28,7.0,175.0,0.0,-1.06952038107819
29,8.0,175.0,0.0,-0.923920933574055
30,9.0,175.0,0.0,-0.814192130329348
31,10.0,175.0,0.0,-0.728586616125813
32,12.0,175.0,0.0,-0.603830959219873
33,15.0,175.0,0.0,-0.483854606088216
34,20.0,175.0,0.0,-0.370294473069249
35,30.0,175.0,0.0,-0.237954006770421
36,3.0,5.0,90.0,2.42653845187627
37,4.0,5.0,90.0,-2.72221639091125
38,5.0,5.0,90.0,-1.81338913055169
39,6.0,5.0,90.0,-1.39359809771674
40,7.0,5.0,90.0,-1.14275628631988
41,8.0,5.0,90.0,-0.973113832145643
42,9.0,5.0,90.0,-0.849724162195619
43,10.0,5.0,90.0,-0.755561732567357
44,12.0,5.0,90.0,-0.62098085448412
45,15.0,5.0,90.0,-0.493917649957507
46,20.0,5.0,90.0,-0.375323173347379
47,30.0,5.0,90.0,-0.241007706992572
48,3.0,90.0,90.0,-1.99818564635423
49,4.0,90.0,90.0,-1.58962318101098
50,5.0,90.0,90.0,-1.315834085396
51,6.0,90.0,90.0,-1.11970688091331
52,7.0,90.0,90.0,-0.972940505185251
53,8.0,90.0,90.0,-0.85945430400648
54,9.0,90.0,90.0,-0.76939926456323
55,10.0,90.0,90.0,-0.696419567358477
56,12.0,90.0,90.0,-0.58589562851317
57,15.0,90.0,90.0,-0.47523074448146
58,20.0,90.0,90.0,-0.3669885497008
59,30.0,90.0,90.0,-0.220148224829862
60,3.0,175.0,90.0,-2.50939401823287
61,4.0,175.0,90.0,-1.91618237680886
62,5.0,175.0,90.0,-1.51008717593054
63,6.0,175.0,90.0,-1.23929748666271
64,7.0,175.0,90.0,-1.04979644565801
65,8.0,175.0,90.0,-0.910869514338242
66,9.0,175.0,90.0,-0.805010342991853
67,10.0,175.0,90.0,-0.721820903981655
68,12.0,175.0,90.0,-0.599771484732313
69,15.0,175.0,90.0,-0.48163510110488
70,20.0,175.0,90.0,-0.369267362392145
71,30.0,175.0,90.0,-0.237638913306231
72,3.0,5.0,180.0,2.43126418786354
73,4.0,5.0,180.0,-2.71825707362524
74,5.0,5.0,180.0,-1.81009496887204
75,6.0,5.0,180.0,-1.39084586759865
76,7.0,5.0,180.0,-1.14043850433381
77,8.0,5.0,180.0,-0.971145242913991
78,9.0,5.0,180.0,-0.848038372649685
79,10.0,5.0,180.0,-0.754106690171121
80,12.0,5.0,180.0,-0.619875609409181
81,15.0,5.0,180.0,-0.493157334125452
82,20.0,5.0,180.0,-0.374887981908912
83,30.0,5.0,180.0,-0.241007961153067
84,3.0,90.0,180.0,-1.90324211946377
85,4.0,90.0,180.0,-1.51123410229413
86,5.0,90.0,180.0,-1.25256558077248
87,6.0,90.0,180.0,-1.06860534151418
88,7.0,90.0,180.0,-0.931292170753455
89,8.0,90.0,180.0,-0.825119997578319
90,9.0,90.0,180.0,-0.740766121097376
91,10.0,90.0,180.0,-0.672282886179167
92,12.0,90.0,180.0,-0.568258216450179
93,15.0,90.0,180.0,-0.463600209396808
94,20.0,90.0,180.0,-0.360617881964152
95,30.0,90.0,180.0,-0.220172888896452
96,3.0,175.0,180.0,-2.34624970734686
97,4.0,175.0,180.0,-1.8278777415188
98,5.0,175.0,180.0,-1.46371082622826
99,6.0,175.0,180.0,-1.21225336190604
100,7.0,175.0,180.0,-1.03260930994709
101,8.0,175.0,180.0,-0.899181867427849
102,9.0,175.0,180.0,-0.796632838176358
103,10.0,175.0,180.0,-0.715564041768184
104,12.0,175.0,180.0,-0.595949516140817
105,15.0,175.0,180.0,-0.479513707354927
106,20.0,175.0,180.0,-0.368273671573231
107,30.0,175.0,180.0,-0.237331793930324
108,3.0,5.0,270.0,2.42653845187626
109,4.0,5.0,270.0,-2.72221639091125
110,5.0,5.0,270.0,-1.81338913055169
111,6.0,5.0,270.0,-1.39359809771674
112,7.0,5.0,270.0,-1.14275628631988
113,8.0,5.0,270.0,-0.973113832145643
114,9.0,5.0,270.0,-0.849724162195619
115,10.0,5.0,270.0,-0.755561732567357
116,12.0,5.0,270.0,-0.62098085448412
117,15.0,5.0,270.0,-0.493917649957507
118,20.0,5.0,270.0,-0.375323173347379
119,30.0,5.0,270.0,-0.241007706992572
120,3.0,90.0,270.0,-1.99818564635423
121,4.0,90.0,270.0,-1.58962318101098
122,5.0,90.0,270.0,-1.315834085396
123,6.0,90.0,270.0,-1.11970688091331
124,7.0,90.0,270.0,-0.972940505185251
125,8.0,90.0,270.0,-0.85945430400648
126,9.0,90.0,270.0,-0.76939926456323
127,10.0,90.0,270.0,-0.696419567358477
